1:
 num     #instances         #bytes  class name (module)
 177:          3613          86712  java.lang.invoke.ResolvedMethodName (java.base@25.0.4)
 178:          1248          79872  java.lang.Class$ReflectionData (java.base@25.0.4)
 179:          1697          78696  [Ljava.lang.reflect.Method; (java.base@25.0.4)
 180:          2356          75392  java.lang.invoke.LambdaForm$Name (java.base@25.0.4)
 181:           380          72960  org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition
 182:          1727          69080  java.lang.invoke.DirectMethodHandle (java.base@25.0.4)
 183:          1689          67560  java.lang.ref.SoftReference (java.base@25.0.4)
 184:          1263          60624  java.lang.invoke.DirectMethodHandle$Constructor (java.base@25.0.4)
 185:          2526          60624  java.util.ImmutableCollections$List12 (java.base@25.0.4)
 186:           676          48672  java.lang.reflect.Constructor (java.base@25.0.4)
 187:          1099          43960  java.lang.invoke.BoundMethodHandle$Species_LL (java.base@25.0.4)
 188:          1735          41640  sun.reflect.annotation.AnnotationInvocationHandler (java.base@25.0.4)
 189:          1650          39600  jdk.jfr.AnnotationElement (jdk.jfr@25.0.4)
 190:           518          39368  [Ljava.lang.ref.SoftReference; (java.base@25.0.4)
 191:           685          38360  org.springframework.core.annotation.TypeMappedAnnotation
 192:          1260          37544  [Ljava.lang.CharSequence; (java.base@25.0.4)
 193:          1555          37320  jdk.jfr.internal.AnnotationConstruct (jdk.jfr@25.0.4)
 194:          1158          37056  java.util.Locale (java.base@25.0.4)
 195:          1158          37056  sun.util.locale.BaseLocale (java.base@25.0.4)
 196:           705          33840  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 197:           843          33720  jdk.jfr.ValueDescriptor (jdk.jfr@25.0.4)
 198:           839          33560  org.springframework.boot.context.properties.source.ConfigurationPropertyName
 199:           839          33560  org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements
 200:          1033          33056  java.lang.ref.ReferenceQueue (java.base@25.0.4)
 201:           513          32832  org.springframework.core.MethodParameter
 202:             2          32800  [Ljdk.internal.ref.PhantomCleanable; (java.base@25.0.4)
 203:           181          31856  org.springframework.beans.factory.support.RootBeanDefinition
 204:           784          31360  org.springframework.util.ConcurrentReferenceHashMap$Segment
 205:          1270          30480  java.util.concurrent.ConcurrentLinkedDeque$Node (java.base@25.0.4)
 206:           784          30464  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
 207:           707          28280  java.lang.invoke.BoundMethodHandle$Species_L (java.base@25.0.4)
 208:           192          27504  [Z (java.base@25.0.4)
 209:           516          27112  [Ljava.lang.invoke.LambdaForm$Name; (java.base@25.0.4)
 210:          1083          25992  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@25.0.4)
 211:          1059          25416  java.util.LinkedHashMap$LinkedKeySet (java.base@25.0.4)
 212:            90          25200  java.util.concurrent.atomic.Striped64$Cell (java.base@25.0.4)
 213:             6          24672  [Ljava.nio.ByteBuffer; (java.base@25.0.4)
 214:           511          24528  java.lang.invoke.LambdaForm (java.base@25.0.4)
 215:           641          24128  [Lorg.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType;
 216:           887          21288  java.lang.Class$AnnotationData (java.base@25.0.4)
 217:           200          20800  jdk.jfr.internal.PlatformEventType (jdk.jfr@25.0.4)
 218:           511          20440  java.util.TreeMap$Entry (java.base@25.0.4)
 219:          1083          20096  [Lsun.reflect.generics.tree.TypeArgument; (java.base@25.0.4)
 220:           271          19512  org.springframework.beans.factory.support.ConstructorResolver$ConstructorDependencyDescriptor
 221:           400          19200  ch.qos.logback.classic.Logger
 222:           223          19184  [Ljava.util.WeakHashMap$Entry; (java.base@25.0.4)
 223:           296          18944  java.security.Provider$Service (java.base@25.0.4)
 224:           784          18816  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 225:           775          18600  java.security.Provider$ServiceKey (java.base@25.0.4)
 226:            99          17944  [Ljava.lang.invoke.MethodHandle; (java.base@25.0.4)
 227:           743          17832  java.lang.module.ModuleDescriptor$Exports (java.base@25.0.4)
 228:           444          17760  java.math.BigInteger (java.base@25.0.4)
 229:          1061          16976  sun.reflect.generics.tree.ClassTypeSignature (java.base@25.0.4)
 230:           705          16920  org.springframework.util.ConcurrentReferenceHashMap$Entry
 231:          1035          16560  java.lang.ref.ReferenceQueue$Lock (java.base@25.0.4)
 232:           408          16320  java.lang.Package$VersionInfo (java.base@25.0.4)
 233:           407          16280  [Ljava.util.HashSet; (java.base@25.0.4)
 234:           668          16032  jdk.internal.constant.ClassOrInterfaceDescImpl (java.base@25.0.4)
 235:          1000          16000  jdk.internal.classfile.impl.LineNumberImpl (java.base@25.0.4)
 236:            89          15984  [J (java.base@25.0.4)
 237:           482          15424  java.lang.Package (java.base@25.0.4)
 238:           640          15360  org.springframework.beans.factory.annotation.InjectionMetadata
 239:           476          15232  java.lang.ref.WeakReference (java.base@25.0.4)
 240:           622          14928  java.lang.invoke.LambdaForm$NamedFunction (java.base@25.0.4)
 241:           599          14488  [Ljava.lang.reflect.Type; (java.base@25.0.4)
 242:           430          14424  [Ljava.lang.reflect.Field; (java.base@25.0.4)
 243:           354          14160  java.lang.invoke.MethodTypeForm (java.base@25.0.4)
 244:           584          14096  [Lorg.springframework.core.ResolvableType;
 245:           117          14040  org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition
 246:           345          13800  org.springframework.core.type.classreading.ClassFileMethodMetadata
 247:           564          13536  java.util.concurrent.ConcurrentLinkedDeque (java.base@25.0.4)
 248:           562          13488  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 249:           410          13120  jdk.jfr.SettingDescriptor (jdk.jfr@25.0.4)
 250:           407          13024  jdk.jfr.internal.Control (jdk.jfr@25.0.4)
 251:           398          12736  org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider
 252:           526          12624  java.util.ImmutableCollections$ListN (java.base@25.0.4)
 253:           259          12432  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@25.0.4)
 254:           771          12336  org.springframework.core.ResolvableType$DefaultVariableResolver
 255:           285          11400  java.lang.reflect.Parameter (java.base@25.0.4)
 256:           158          11376  org.springframework.core.annotation.AnnotationTypeMapping
 257:           469          11256  java.util.ImmutableCollections$Set12 (java.base@25.0.4)
 258:           280          11200  sun.security.util.KnownOIDs (java.base@25.0.4)
 259:           465          11160  java.util.jar.Attributes$Name (java.base@25.0.4)
 260:           345          11040  org.springframework.core.type.classreading.ClassFileMethodMetadata$Source
 261:           686          10976  org.springframework.beans.factory.support.MethodOverrides
 262:           341          10912  jdk.internal.math.FDBigInteger (java.base@25.0.4)
 263:           453          10872  jdk.internal.classfile.impl.AccessFlagsImpl (java.base@25.0.4)
 264:           675          10800  org.springframework.core.type.classreading.ClassFileAnnotationDelegate$Source
 265:           132          10560  java.net.URI (java.base@25.0.4)
 266:           219          10512  java.util.WeakHashMap (java.base@25.0.4)
