1:
 num     #instances         #bytes  class name (module)
 254:           247           5928  org.springframework.aop.framework.autoproxy.AbstractAutoProxyCreator$ComposedCacheKey
 255:           123           5904  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@25.0.4)
 256:           101           5656  java.util.logging.Logger (java.logging@25.0.4)
 257:            54           5616  org.apache.coyote.Response
 258:            54           5616  org.apache.coyote.http11.Http11Processor
 259:           228           5472  org.springframework.context.annotation.BeanMethod
 260:           170           5440  java.util.concurrent.atomic.LongAdder (java.base@25.0.4)
 261:           339           5424  java.lang.Character$UnicodeBlock (java.base@25.0.4)
 262:           224           5376  jdk.internal.loader.AbstractClassLoaderValue$Sub (java.base@25.0.4)
 263:           167           5344  com.sun.jmx.mbeanserver.ConvertingMethod (java.management@25.0.4)
 264:           221           5304  java.util.concurrent.atomic.AtomicLong (java.base@25.0.4)
 265:           165           5280  java.util.logging.LogManager$LogNode (java.logging@25.0.4)
 266:           219           5256  java.lang.reflect.AccessFlag$AccessFlagSet (java.base@25.0.4)
 267:           294           5200  [Lsun.reflect.generics.tree.FormalTypeParameter; (java.base@25.0.4)
 268:           124           4960  java.lang.invoke.DirectMethodHandle$Interface (java.base@25.0.4)
 269:           309           4944  org.springframework.boot.autoconfigure.condition.ConditionMessage
 270:           204           4896  java.util.regex.Pattern$BmpCharProperty (java.base@25.0.4)
 271:           102           4896  jdk.jfr.internal.Type (jdk.jfr@25.0.4)
 272:            43           4816  org.springframework.boot.loader.jar.NestedJarFile$NestedJarEntry
 273:           199           4776  java.util.Collections$SetFromMap (java.base@25.0.4)
 274:           199           4776  jdk.jfr.EventType (jdk.jfr@25.0.4)
 275:           199           4776  jdk.jfr.internal.settings.EnabledSetting (jdk.jfr@25.0.4)
 276:            54           4752  org.apache.coyote.RequestInfo
 277:           194           4656  sun.reflect.generics.scope.ClassScope (java.base@25.0.4)
 278:           145           4640  javax.management.ObjectName (java.management@25.0.4)
 279:           193           4632  sun.reflect.generics.tree.ClassSignature (java.base@25.0.4)
 280:           221           4488  [Lsun.reflect.generics.tree.FieldTypeSignature; (java.base@25.0.4)
 281:           193           4440  [Lsun.reflect.generics.tree.ClassTypeSignature; (java.base@25.0.4)
 282:            54           4320  org.apache.coyote.http11.Http11InputBuffer
 283:           135           4320  org.springframework.core.convert.TypeDescriptor
 284:            66           4224  java.util.zip.Inflater (java.base@25.0.4)
 285:           172           4128  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@25.0.4)
 286:             1           4112  [Ljava.lang.classfile.constantpool.PoolEntry; (java.base@25.0.4)
 287:           256           4096  java.lang.Byte (java.base@25.0.4)
 288:           256           4096  java.lang.Short (java.base@25.0.4)
 289:           102           4080  java.util.logging.Logger$ConfigurationData (java.logging@25.0.4)
 290:           146           4032  [Lorg.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet;
 291:            72           4032  java.lang.Module (java.base@25.0.4)
 292:             1           4016  [Ljava.lang.classfile.instruction.LineNumber; (java.base@25.0.4)
 293:            83           3984  java.lang.invoke.DirectMethodHandle$Accessor (java.base@25.0.4)
 294:           148           3928  [Lorg.springframework.core.annotation.AnnotationTypeMapping;
 295:            49           3920  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 296:            98           3920  com.sun.management.internal.DiagnosticCommandArgumentInfo (jdk.management@25.0.4)
 297:            54           3888  org.apache.catalina.connector.InputBuffer
 298:            54           3888  org.apache.coyote.http11.filters.ChunkedInputFilter
 299:           162           3888  org.apache.tomcat.util.http.MimeHeaders
 300:           238           3808  org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcomes
 301:            95           3800  io.micrometer.core.instrument.Meter$Id
 302:            95           3800  sun.reflect.generics.repository.MethodRepository (java.base@25.0.4)
 303:            47           3760  org.springframework.boot.loader.zip.ZipContent
 304:            12           3744  java.util.concurrent.ForkJoinPool$WorkQueue (java.base@25.0.4)
 305:           117           3744  org.springframework.core.type.StandardAnnotationMetadata
 306:           138           3688  [Ljava.lang.reflect.Parameter; (java.base@25.0.4)
 307:           113           3616  org.springframework.core.io.ClassPathResource
 308:           148           3552  org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets
 309:           178           3528  [Lcom.sun.jmx.mbeanserver.MXBeanMapping; (java.management@25.0.4)
 310:           109           3488  sun.reflect.annotation.AnnotationType (java.base@25.0.4)
 311:           108           3456  [Lorg.apache.coyote.http11.InputFilter;
 312:           108           3456  [Lorg.apache.coyote.http11.OutputFilter;
 313:            54           3456  org.apache.catalina.connector.OutputBuffer
 314:            54           3456  org.apache.tomcat.util.http.Parameters
 315:           108           3456  org.apache.tomcat.util.http.parser.HttpHeaderParser
 316:           108           3456  org.apache.tomcat.util.http.parser.HttpHeaderParser$HeaderParseData
 317:            39           3432  java.util.regex.Pattern (java.base@25.0.4)
 318:           138           3312  java.lang.reflect.Executable$ParameterData (java.base@25.0.4)
 319:           137           3288  tools.jackson.databind.type.ClassKey
 320:            51           3264  javax.management.openmbean.OpenMBeanAttributeInfoSupport (java.management@25.0.4)
 321:            45           3240  java.util.ResourceBundle$CacheKey (java.base@25.0.4)
 322:           202           3232  org.apache.commons.logging.impl.Slf4jLogFactory$Slf4jLocationAwareLog
 323:           101           3232  sun.reflect.generics.tree.MethodTypeSignature (java.base@25.0.4)
 324:            63           3224  [Ljavax.management.MBeanAttributeInfo; (java.management@25.0.4)
 325:            50           3200  jdk.internal.classfile.impl.AbstractPoolEntry$Utf8EntryImpl (java.base@25.0.4)
 326:            64           3072  java.util.TreeMap (java.base@25.0.4)
 327:            54           3024  [Lorg.apache.catalina.core.ApplicationFilterConfig;
 328:            54           3024  org.apache.catalina.connector.Response
 329:            54           3024  org.apache.catalina.mapper.MappingData
 330:            54           3024  org.apache.coyote.http11.Http11OutputBuffer
 331:           188           3008  java.util.WeakHashMap$KeySet (java.base@25.0.4)
 332:            94           3008  java.util.zip.ZipFile$CleanableResource (java.base@25.0.4)
 333:           188           3008  jdk.proxy2.$Proxy35 (jdk.proxy2)
 334:            62           2976  javax.management.MBeanInfo (java.management@25.0.4)
 335:            92           2944  org.springframework.boot.loader.jar.NestedJarFileResources
 336:           110           2928  [Ljava.lang.annotation.ElementType; (java.base@25.0.4)
 337:            90           2880  java.util.ResourceBundle$KeyElementReference (java.base@25.0.4)
 338:           119           2856  java.lang.module.ModuleDescriptor$Provides (java.base@25.0.4)
 339:            89           2848  org.springframework.boot.loader.zip.FileDataBlock
 340:            10           2800  java.util.concurrent.ConcurrentHashMap$CounterCell (java.base@25.0.4)
 341:            84           2688  org.springframework.format.support.FormattingConversionService$AnnotationParserConverter
 342:            84           2688  org.springframework.format.support.FormattingConversionService$AnnotationPrinterConverter
 343:           110           2640  org.springframework.boot.autoconfigure.condition.OnBeanCondition
 344:            54           2592  jdk.jfr.internal.periodic.JVMEventTask (jdk.jfr@25.0.4)
 345:           162           2592  jdk.proxy1.$Proxy96 (jdk.proxy1)
 346:            81           2592  org.springframework.core.annotation.AttributeMethods
 347:            64           2560  org.springframework.http.HttpStatus
 348:           159           2544  java.util.Collections$UnmodifiableSet (java.base@25.0.4)
 349:            53           2544  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@25.0.4)
 350:           159           2544  org.springframework.core.convert.TypeDescriptor$$Lambda/0x00007000010c9808
 351:           105           2520  java.util.regex.Pattern$$Lambda/0x800000028 (java.base@25.0.4)
 352:           103           2472  [[C (java.base@25.0.4)
 353:           101           2464  [Lsun.reflect.generics.tree.TypeSignature; (java.base@25.0.4)
 354:            43           2408  org.springframework.boot.loader.zip.ZipCentralDirectoryFileHeaderRecord
 355:            49           2352  org.springframework.util.ConcurrentReferenceHashMap
 356:            58           2320  java.security.CodeSource (java.base@25.0.4)
 357:            16           2304  [Ljava.lang.invoke.MemberName; (java.base@25.0.4)
 358:            72           2304  javax.management.MBeanAttributeInfo (java.management@25.0.4)
 359:            95           2280  sun.reflect.generics.scope.MethodScope (java.base@25.0.4)
 360:            71           2272  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@25.0.4)
 361:            94           2256  io.micrometer.core.instrument.ImmutableTag
 362:            92           2208  org.springframework.boot.loader.net.protocol.jar.UrlJarManifest
 363:            54           2160  java.io.ObjectStreamField (java.base@25.0.4)
